Order Number,Company Name,Customer ID,Total Order Amount,Order Amount
53615,Canyon Adventure Collective,1012679,184.17,5/24/24
53618,Swift Wheels Works,1020349,358.15,5/24/24
53621,Velvet Spokes Studio,1045110,289.23,5/24/24
53622,Rugged Gear Works,1053474,361.6,5/24/24
53631,Rugged Motion Outdoors,1056050,339.07,5/25/24
53633,Urban Motion Systems,1121659,320.11,5/25/24
53656,Urban Adventure Corp,1128931,1010.4,5/27/24
53662,Swift Spokes Systems,1144409,40.4,5/28/24
53664,Crimson Wheels LLC,1147937,671.16,5/28/24
53681,Wild Outfitters Group,1159124,757.8,5/29/24
53682,Trail Motion Group,1163295,623.95,5/29/24
53683,Urban Motion Studio,1168169,252.57,5/29/24
53685,Crimson Riders Systems,1177614,243.57,5/29/24
53688,Canyon Cycles LLC,1200842,1656,5/29/24
53690,Urban Outfitters Collective,1210684,1242,5/29/24
53693,Wild Motion Outdoors,1219441,7426.9,5/30/24
53694,Velvet Gear Group,1237289,1027.94,5/30/24
53697,Urban Trails Studio,1243917,2114.36,5/30/24
53700,Wild Trails Group,1248479,129.2,5/30/24
53701,Rugged Trails Systems,1251423,1597.68,5/30/24
53704,Urban Peaks Inc,1255019,257.11,5/30/24
53706,Rugged Gear Outdoors,1259739,257.22,5/30/24
53707,Iron Trails Outdoors,1317818,389.41,5/30/24
53711,Swift Wheels Systems,1354732,655.08,5/30/24
53712,Swift Riders Group,1378543,317.71,5/30/24
53714,Swift Cycles Collective,1385193,514.06,5/30/24
53716,Urban Gear Inc,1392195,701.35,5/30/24
53718,Wild Motion Studio,1398859,973.83,5/30/24
53719,Canyon Motion Collective,1398957,663.31,5/30/24
53720,Canyon Peaks Works,1402143,308.4,5/30/24
53721,Swift Outfitters Outdoors,1465820,536.37,5/30/24
53722,Canyon Peaks Systems,1504315,86.6,5/30/24
53725,Wild Trails Works,1545793,344.37,5/30/24
53726,Rugged Adventure Group,1586717,1942.84,5/30/24
53728,Trail Riders Collective,1647325,361.01,5/30/24
53729,Trail Riders Group,1652483,846,5/30/24
53730,Canyon Motion Systems,1668040,644.35,5/30/24
53733,Summit Adventure Collective,1668942,585.57,5/30/24
53734,Summit Adventure Collective,1668942,478.06,5/30/24
53735,Summit Adventure Collective,1668942,344.86,5/30/24
53738,Canyon Motion Studio,1675396,1677.6,5/30/24
53741,Crimson Motion Group,1682530,347.89,5/30/24
53742,Wild Motion Inc,1770232,3477.6,5/30/24
53743,Crimson Peaks Corp,1773606,617.11,5/30/24
53744,Canyon Cycles LLC,1200842,4718.4,5/30/24
53745,Urban Peaks Corp,1775034,329.54,5/31/24
53746,Canyon Wheels Outdoors,1783522,6963.75,5/31/24
53747,Rugged Spokes Co,1805094,29,5/31/24
53748,Canyon Spokes Works,1811506,300.82,5/31/24
53749,Iron Cycles Group,1831133,1587.83,5/31/24
53751,Urban Motion LLC,1834662,494.43,5/31/24
53755,Trail Gear Corp,1879198,799.2,5/31/24
53758,Velvet Motion Works,1887593,1919.3,6/1/24
53759,Summit Adventure Outdoors,1923765,437.97,6/1/24
53761,Velvet Trails Systems,1946734,511.87,6/1/24
53772,Trail Peaks Inc,1950283,496.41,6/2/24
53781,Crimson Adventure Collective,2000097,169.77,6/3/24
53783,Rugged Motion Corp,2050453,728.28,6/3/24
53786,Trail Trails Studio,2091219,268.47,6/3/24
53787,Summit Wheels LLC,2116369,140.4,6/3/24
53790,Crimson Wheels Co,2134801,332.37,6/3/24
53791,Wild Motion Inc,1770232,993.6,6/3/24
53792,Wild Spokes Works,2172258,768,6/3/24
53793,Swift Riders Works,2178548,479.71,6/3/24
53794,Velvet Motion Systems,2182169,546.4,6/3/24
53795,Urban Cycles Co,2227416,284.62,6/3/24
53796,Trail Cycles Group,2230965,229.17,6/3/24
53797,Iron Peaks LLC,2236936,907.2,6/3/24
53806,Crimson Riders Co,2250794,589.01,6/4/24
53807,Canyon Adventure Corp,2257403,669.77,6/4/24
53811,Canyon Peaks Outdoors,2273506,686.34,6/4/24
53814,Rugged Spokes Co,1805094,0,6/4/24
53817,Summit Motion LLC,2276959,1294.2,6/4/24
53818,Rugged Outfitters Collective,2277258,919.8,6/4/24
53819,Wild Peaks Collective,2285273,610.17,6/4/24
53821,Wild Spokes Systems,2294806,120.2,6/4/24
53823,Summit Outfitters Studio,2301777,655.79,6/4/24
53824,Summit Peaks Works,2336284,665.22,6/4/24
53851,Urban Trails Collective,2358152,2725.8,6/5/24
53860,Iron Riders LLC,2364374,415.9,6/5/24
53862,Summit Motion Systems,2404243,255.31,6/5/24
53866,Velvet Outfitters Corp,2407581,1877.58,6/5/24
53868,Summit Riders Corp,2408467,610.78,6/5/24
53874,Velvet Trails Co,2410623,1645.43,6/5/24
53879,Swift Wheels Works,1020349,210.91,6/5/24
53880,Crimson Peaks Co,2415119,685.77,6/5/24
53884,Summit Spokes Outdoors,2429294,169.77,6/5/24
53886,Velvet Wheels Works,2453122,212.82,6/5/24
53896,Wild Trails LLC,2469428,993.6,6/5/24
53905,Summit Motion Studio,2514947,81.8,6/6/24
53909,Rugged Motion Co,2538643,328.02,6/6/24
53911,Iron Motion Corp,2546736,182.71,6/6/24
53912,Swift Trails LLC,2558399,1282.8,6/6/24
53922,Crimson Cycles Works,2641647,3805.44,6/7/24
53926,Rugged Wheels Systems,2642940,331.17,6/7/24
53931,Urban Outfitters Works,2644414,414.57,6/7/24
53932,Canyon Riders Collective,2657019,369.07,6/7/24
53933,Wild Gear Inc,2667485,445.51,6/7/24
53946,Iron Riders Studio,2689111,707.94,6/8/24
54001,Iron Cycles Collective,2743926,478.06,6/10/24
54004,Wild Riders Studio,2747054,539.75,6/10/24
54008,Urban Spokes Collective,2758156,195.68,6/10/24
54019,Urban Motion Studio,1168169,98.9,6/11/24
54022,Trail Gear Inc,2783242,288.82,6/11/24
54024,Crimson Gear Inc,2791000,40.4,6/11/24
54027,Urban Cycles Systems,2797334,610.61,6/11/24
